Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,0.0005,64,76.71205,7.2163205,8.758541624699946,0.20266172,-154.95107,16.727345,16.119848,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,64,146.83238,9.157149,12.117441239888413,0.25471616,-1.4435451,224346770.0,21.293795,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,64,912.0974,24.360365,30.200950516653858,0.23051742,-9.766866,19.330244,17.305847,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,16,504.57916,18.588661,22.462839593374124,0.49705634,-0.2814504,59.27051,47.91889,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,16,36.191345,4.581863,6.015924302619154,1.6042249,-0.37983906,193496450.0,100.024155,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,16,38.181664,5.0827208,6.179131291143084,0.14297739,-76.62107,11.760311,11.86622,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,16,92.25095,7.5249114,9.604736002322834,0.20189753,-0.53521574,97217784.0,19.216845,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,16,785.8075,22.054083,28.03225811662677,0.21396425,-8.276074,17.296373,15.534897,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,32,803.79584,23.66153,28.351293399108688,0.6273557,-1.0413537,102.105644,53.89049,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,32,88.7281,8.793022,9.419559630773367,2.5118487,-2.3828666,472204000.0,125.09389,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,32,106.75018,7.854993,10.331998020976812,0.23906952,-216.01682,18.238537,16.828915,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,32,153.54489,9.691796,12.391323228671823,0.2604733,-1.555253,165342940.0,22.206367,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,32,905.7096,23.107996,30.095009465467236,0.22970879,-9.691461,18.006245,16.509346,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,64,548.74097,20.551975,23.425220741689394,0.51835185,-0.3936057,74.962234,51.67034,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,64,73.523094,7.9487495,8.574560873726776,2.2865188,-1.8031571,404983700.0,121.15237,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,64,58.16483,6.1318364,7.626586999054714,0.1764697,-117.24566,14.18852,14.13047,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,64,134.45123,9.1685295,11.595310815590768,0.24374066,-1.2375014,192110500.0,22.41655,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,64,670.7971,20.570288,25.899751333567373,0.19768728,-6.918433,16.293398,15.220681,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,585.3689,20.684122,24.19439803930602,0.5353722,-0.48662746,89.037796,49.081593,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,65.62875,7.487565,8.1011575507522,2.1602795,-1.5021758,374076480.0,119.52871,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,60.495197,5.97562,7.777865857427896,0.1799701,-121.98316,13.855317,13.312277,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,121.33892,8.3177595,11.015394708918139,0.23155047,-1.0192897,198035280.0,19.859549,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,566.64716,19.200907,23.804351613974255,0.18169354,-5.688994,15.056875,15.061176,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,638.6069,20.87582,25.2706721825636,0.5591879,-0.62183285,76.97962,49.34602,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,68.39199,7.6023088,8.269945021680682,2.205289,-1.6075275,419126700.0,118.11371,5.1213937,3.7500505
